Date,Open,High,Low,Close,Volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal,Positive Return
2019-04-19,174.04,174.68,169.28,173.52,25695.13654122,-0.0029878188922085602,168.21775645474202,166.34730428890038,1.0,0.0,1.0,0.037977980359090634,0.04712238253167183,1.0,0.0,1.0,165.386,10.270639502459119,175.65663950245911,155.11536049754088,0.0,0.0,0.0,0.0
2019-04-20,173.55,178.0,170.43,173.75,26165.68467729,0.0013254956201014245,168.97510939201936,166.8350169875008,1.0,0.0,1.0,0.035300544312280795,0.045579955356453615,1.0,0.0,1.0,167.009,8.70840906371839,175.71740906371838,158.3005909362816,0.0,0.0,0.0,1.0
2019-04-21,173.77,174.29,166.2,169.9,29212.2435949,-0.022158273381294946,169.1007889144285,167.03072045791848,1.0,0.0,1.0,0.03435716997767065,0.044797067549862554,1.0,0.0,1.0,168.45149999999998,6.214429113806531,174.6659291138065,162.23707088619346,0.0,0.0,0.0,0.0
2019-04-22,169.84,174.05,168.05,171.56,26074.47389926,0.009770453207769147,169.43282373456094,167.3115558681349,1.0,0.0,1.0,0.03201783644953022,0.04338954009303644,1.0,0.0,1.0,168.7985,6.182903656986647,174.98140365698663,162.61559634301335,0.0,0.0,0.0,1.0
2019-04-23,171.56,176.94,168.84,170.51,35068.20080984,-0.0061203077640475945,169.57745541320722,167.50448305074178,1.0,0.0,1.0,0.029965923534527178,0.042205725178443405,1.0,0.0,1.0,169.25899999999996,5.932950717014781,175.19195071701475,163.32604928298517,0.0,0.0,0.0,0.0
2019-04-24,170.06,171.01,160.22,165.72,51119.21384994,-0.028092194006216653,169.06200206574914,167.3995984753171,1.0,0.0,1.0,0.029885041844957376,0.041798128160621846,1.0,0.0,1.0,169.66949999999997,5.330712873232057,175.00021287323202,164.33878712676793,0.0,0.0,0.0,0.0
2019-04-25,165.6,166.71,146.5,152.09,73004.03616572,-0.08224716389090025,166.80354530853293,166.52146388652733,1.0,0.0,1.0,0.039790947183024616,0.04540117598745598,1.0,0.0,1.0,168.988,6.5857298680356395,175.57372986803563,162.40227013196437,1.0,0.0,0.0,0.0
2019-04-26,152.09,156.0,148.18,153.05,43774.66277206,0.006312052074429753,164.97996872122965,165.76635197144148,0.0,-1.0,1.0,0.037626613300474364,0.04416288479567195,1.0,0.0,1.0,168.36849999999998,7.461553580998072,175.83005358099805,160.9069464190019,1.0,0.0,1.0,1.0
2019-04-27,153.13,158.27,152.33,155.73,21193.1334655,0.017510617445279264,163.75735854640243,165.21589144388497,0.0,-1.0,-1.0,0.03634775767210038,0.0431386646590342,1.0,0.0,1.0,167.4195,7.811347666595117,175.2308476665951,159.6081523334049,1.0,0.0,1.0,1.0
2019-04-28,155.58,156.4,152.38,153.56,13792.47994485,-0.013934373595325122,162.41319054590613,164.58962035641576,0.0,-1.0,-1.0,0.033957452007333834,0.04214778760728194,1.0,0.0,1.0,166.07049999999998,7.755704504970588,173.82620450497058,158.3147954950294,1.0,0.0,1.0,0.0
